Target_Ticker,Target_Name,Candidate_Ticker,Candidate_Name,Distance
NFLX,"Netflix, Inc. - Common Stock",JFLX,JPMorgan Flexible Debt ETF,1
NFLX,"Netflix, Inc. - Common Stock",XFLX,FundX Flexible ETF,1
CGC,Canopy Growth Corporation - Common Shares,BGC,"BGC Group, Inc. - Class A Common Stock",1
CGC,Canopy Growth Corporation - Common Shares,CAC,Camden National Corporation - Common Stock,1
CGC,Canopy Growth Corporation - Common Shares,CBC,"Central Bancompany, Inc. - Class A Common Stock",1
CGC,Canopy Growth Corporation - Common Shares,CCC,CCC Intelligent Solutions Holdings Inc. - Common Stock,1
CGC,Canopy Growth Corporation - Common Shares,CCG,Cheche Group Inc. - Class A Ordinary Shares,1
CGC,Canopy Growth Corporation - Common Shares,CDC,VictoryShares US EQ Income Enhanced Volatility Wtd ETF,1
CGC,Canopy Growth Corporation - Common Shares,CG,The Carlyle Group Inc. - Common Stock,1
CGC,Canopy Growth Corporation - Common Shares,PGC,Peapack-Gladstone Financial Corporation - Common Stock,1
CGC,Canopy Growth Corporation - Common Shares,RGC,Regencell Bioscience Holdings Limited - Ordinary Shares,1
CGC,Canopy Growth Corporation - Common Shares,SGC,"Superior Group of Companies, Inc. - Common Stock",1
CGC,Canopy Growth Corporation - Common Shares,CC,Chemours Company (The) Common Stock,1
CGC,Canopy Growth Corporation - Common Shares,CMC,Commercial Metals Company Common Stock,1
CGC,Canopy Growth Corporation - Common Shares,CNC,Centene Corporation Common Stock,1
CGC,Canopy Growth Corporation - Common Shares,CRC,California Resources Corporation Common Stock,1
CGC,Canopy Growth Corporation - Common Shares,GCC,WisdomTree EnhancedContinuous Commodity Index Fund,1
CGC,Canopy Growth Corporation - Common Shares,IGC,"IGC Pharma, Inc. Common Stock",1
CGC,Canopy Growth Corporation - Common Shares,KGC,Kinross Gold Corporation Common Stock,1
CGC,Canopy Growth Corporation - Common Shares,MGC,Vanguard Mega Cap ETF,1
PLTR,Palantir Technologies Inc. - Class A Common Stock,DLTR,"Dollar Tree, Inc. - Common Stock",1
PLTR,Palantir Technologies Inc. - Class A Common Stock,KLTR,"Kaltura, Inc. - Common Stock",1
PLTR,Palantir Technologies Inc. - Class A Common Stock,PLMR,"Palomar Holdings, Inc. - Common stock",1
PLTR,Palantir Technologies Inc. - Class A Common Stock,PLTK,Playtika Holding Corp. - Common Stock,1
PLTR,Palantir Technologies Inc. - Class A Common Stock,PLUR,Pluri Inc. - Common Stock,1
PLTR,Palantir Technologies Inc. - Class A Common Stock,PMTR,Perimeter Acquisition Corp. I - Class A Ordinary Shares,1
PLTR,Palantir Technologies Inc. - Class A Common Stock,PSTR,PeakShares Sector Rotation ETF,1
PLTR,Palantir Technologies Inc. - Class A Common Stock,FLTR,VanEck IG Floating Rate ETF,1
PLTR,Palantir Technologies Inc. - Class A Common Stock,GLTR,abrdn Physical Precious Metals Basket Shares ETF,1
AMZN,"Amazon.com, Inc. - Common Stock",ALZN,"Alzamend Neuro, Inc. - Common Stock",1
AMZN,"Amazon.com, Inc. - Common Stock",AMGN,Amgen Inc. - Common Stock,1
AMZN,"Amazon.com, Inc. - Common Stock",AZN,AstraZeneca PLC - American Depositary Shares,1
AMZN,"Amazon.com, Inc. - Common Stock",AIZN,"Assurant, Inc. 5.25% Subordinated Notes due 2061",1
AMZN,"Amazon.com, Inc. - Common Stock",AMN,AMN Healthcare Services Inc,1
AMZN,"Amazon.com, Inc. - Common Stock",AMZE,"Amaze Holdings, Inc. Common Stock",1
RGTI,"Rigetti Computing, Inc.  - Common stock",RGTIW,"Rigetti Computing, Inc.  - Redeemable warrants, each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50",1
RGTI,"Rigetti Computing, Inc.  - Common stock",RMTI,"Rockwell Medical, Inc. - Common Stock",1
DNN,Denison Mines Corp Ordinary Shares (Canada),DENN,Denny's Corporation - Common Stock,1
DNN,Denison Mines Corp Ordinary Shares (Canada),DYN,"Dyne Therapeutics, Inc. - Common Stock",1
DNN,Denison Mines Corp Ordinary Shares (Canada),NN,NextNav Inc. - Common stock,1
DNN,Denison Mines Corp Ordinary Shares (Canada),DAN,Dana Incorporated Common Stock ,1
DNN,Denison Mines Corp Ordinary Shares (Canada),DIN,"Dine Brands Global, Inc. Common Stock",1
DNN,Denison Mines Corp Ordinary Shares (Canada),DLN,WisdomTree U.S. LargeCap Dividend Fund,1
DNN,Denison Mines Corp Ordinary Shares (Canada),DNA,"Ginkgo Bioworks Holdings, Inc. Class A Common Stock",1
DNN,Denison Mines Corp Ordinary Shares (Canada),DON,WisdomTree U.S. MidCap Dividend Fund,1
DNN,Denison Mines Corp Ordinary Shares (Canada),DRN,Direxion Daily Real Estate Bull 3X Shares,1
DNN,Denison Mines Corp Ordinary Shares (Canada),DVN,Devon Energy Corporation Common Stock,1
DNN,Denison Mines Corp Ordinary Shares (Canada),INN,"Summit Hotel Properties, Inc. Common Stock",1
DNN,Denison Mines Corp Ordinary Shares (Canada),LNN,Lindsay Corporation Common Stock,1
DNN,Denison Mines Corp Ordinary Shares (Canada),NNN,"NNN REIT, Inc. Common Stock",1
DNN,Denison Mines Corp Ordinary Shares (Canada),SNN,"Smith & Nephew SNATS, Inc. Common Stock",1
NVD,GraniteShares 2x Short NVDA Daily ETF,NVDA,NVIDIA Corporation - Common Stock,1
NVD,GraniteShares 2x Short NVDA Daily ETF,AVD,American Vanguard Corporation Common Stock ($0.10 Par Value),1
NVD,GraniteShares 2x Short NVDA Daily ETF,FVD,First Trust VL Dividend,1
NVD,GraniteShares 2x Short NVDA Daily ETF,NAD,Nuveen Quality Municipal Income Fund Common Stock,1
NVD,GraniteShares 2x Short NVDA Daily ETF,NGD,New Gold Inc.,1
NVD,GraniteShares 2x Short NVDA Daily ETF,NVO,Novo Nordisk A/S Common Stock,1
NVD,GraniteShares 2x Short NVDA Daily ETF,NVR,"NVR, Inc. Common Stock",1
NVD,GraniteShares 2x Short NVDA Daily ETF,NVS,Novartis AG Common Stock,1
HIHO,Highway Holdings Limited - Common Stock,HIPO,Hippo Holdings Inc. Common Stock,1
BITO,ProShares Bitcoin ETF,BITF,Bitfarms Ltd. - Common Stock,1
BITO,ProShares Bitcoin ETF,IBTO,iShares iBonds Dec 2033 Term Treasury ETF,1
BITO,ProShares Bitcoin ETF,NITO,"N2OFF, Inc. - Common Stock",1
BITO,ProShares Bitcoin ETF,BIO,"Bio-Rad Laboratories, Inc. Class A Common Stock",1
BITO,ProShares Bitcoin ETF,BTO,John Hancock Financial Opportunities Fund Common Stock,1
MARA,"MARA Holdings, Inc. - Common Stock",MAMA,"Mama's Creations, Inc. - Common Stock",1
MARA,"MARA Holdings, Inc. - Common Stock",MAR,Marriott International - Class A Common Stock,1
MARA,"MARA Holdings, Inc. - Common Stock",MIRA,"MIRA Pharmaceuticals, Inc. - Common Stock",1
MARA,"MARA Holdings, Inc. - Common Stock",TARA,"Protara Therapeutics, Inc.  - Common Stock",1
MARA,"MARA Holdings, Inc. - Common Stock",GARA,Guinness Atkinson Real Assets Income ETF,1
MARA,"MARA Holdings, Inc. - Common Stock",MAA,"Mid-America Apartment Communities, Inc. Common Stock",1
MARA,"MARA Holdings, Inc. - Common Stock",MAIA,"MAIA Biotechnology, Inc. Common Stock",1
MARA,"MARA Holdings, Inc. - Common Stock",MTRA,Invesco International Growth Focus ETF,1
CMCSA,Comcast Corporation - Class A Common Stock,CMCSV,Comcast Corporation - Class A Common Stock Ex-Distribution When Issued,1
CMCSA,Comcast Corporation - Class A Common Stock,CMSA,CMS Energy Corporation 5.625% Junior Subordinated Notes due 2078,1
